fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9965345379575195,0.9951977692863782,0.996613293335663,0.9965345379575195,0.9999307636136805,0.9965033009141386,0.9953086678757438,0.9951977692863782,0.9999040421863294,0.9951485877876699
2,0.9966110382233578,0.9949740094323385,0.9966772010359395,0.9966110382233578,0.9999322872385048,0.9965821391078367,0.9950557132074828,0.9949740094323385,0.9998996348242025,0.9949263583542284
3,0.996555582118097,0.9955763636676592,0.9966254588120983,0.996555582118097,0.9999311825494149,0.9965245829184904,0.995629600245348,0.9955763636676592,0.9999116283105934,0.9955289782236231
4,0.9966626822854411,0.9946640962528186,0.9967206256350889,0.9966626822854411,0.99993332483765,0.9966325863267399,0.9947629537860816,0.9946640962528186,0.9998933689530559,0.9946156579063735
5,0.9965192445613196,0.9956452140385906,0.9966039839467177,0.9965192445613196,0.9999304615255639,0.9964862795215081,0.9957460454024916,0.9956452140385906,0.9999129464705793,0.9956017071550791
6,0.9965211570643079,0.9949222851438112,0.9965832122122343,0.9965211570643079,0.9999304936165132,0.9964917464497706,0.9949651154930667,0.9949222851438112,0.9998985817979962,0.9948797392847887
7,0.9966129572077457,0.9949222851438112,0.9966775484459542,0.9966129572077457,0.999932328769942,0.9965863590473732,0.9950588575705964,0.9949222851438112,0.9998985663133259,0.9948842049454609
8,0.9965154195553431,0.9952493244057352,0.9965800276307542,0.9965154195553431,0.9999303784594078,0.9964865437484046,0.9953668238659565,0.9952493244057352,0.9999051112903047,0.9951948438454832
9,0.9965976571838393,0.9955419384821935,0.9966688257201267,0.9965976571838393,0.999932026399507,0.9965682848092712,0.9955732624619215,0.9955419384821935,0.9999109120678994,0.9955132135159119
10,0.9965307195792493,0.9950771984784068,0.9965974827981999,0.9965307195792493,0.9999306878853598,0.9964992549979144,0.9951538773520494,0.9950771984784068,0.9999016443191652,0.9950498170653823
Average,0.9965660995736221,0.9951770484331744,0.9966347659572776,0.9965660995736221,0.9999313934895545,0.9965361077841447,0.9952620917260738,0.9951770484331744,0.9999036436533452,0.9951343108084
