fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.017970701679587364,0.9923093681917211,0.0249819103628397,0.9898039215686274,0.9924453454173416,0.9923093681917211,0.9998461677524254,0.9922039235370584,0.9901193337550075,0.9898039215686274,0.9997962875081867,0.9895218826065268
2,0.019132154062390327,0.9919607843137255,0.03458050638437271,0.9882352941176471,0.9920096484131866,0.9919607843137255,0.9998391878430307,0.9918610602619512,0.9881894280979249,0.9882352941176471,0.9997650637529009,0.9880761339374055
3,0.019639555364847183,0.9913507625272331,0.02452719211578369,0.9892156862745098,0.9915069209170942,0.9913507625272331,0.999827022290805,0.9912179326846075,0.9892113568019201,0.9892156862745098,0.9997842446557013,0.988997924942051
4,0.020983029156923294,0.9905664488017429,0.020860377699136734,0.9905882352941177,0.9906731298103226,0.9905664488017429,0.9998113271359229,0.9904267919446654,0.9909987369829071,0.9905882352941177,0.9998117678186819,0.9904120555623407
5,0.020091690123081207,0.9914596949891068,0.030294954776763916,0.9874509803921568,0.9916821123340456,0.9914596949891068,0.9998292134633547,0.9913316351704228,0.9872111895267632,0.9874509803921568,0.9997488385503793,0.9871026756146517
6,0.01883721351623535,0.9920479302832244,0.026643317192792892,0.9894117647058823,0.9922015400028517,0.9920479302832244,0.999840991400448,0.9919385321334778,0.9894179935204384,0.9894117647058823,0.9997878411222259,0.9892441855589285
7,0.017092712223529816,0.9929411764705882,0.02483976259827614,0.9880392156862745,0.9929544395446437,0.9929411764705882,0.9998588315222934,0.9928761818457873,0.9883322500921344,0.9880392156862745,0.9997605812743134,0.9877744015580234
8,0.024756716564297676,0.9886710239651416,0.028509562835097313,0.9874509803921568,0.9888150571602794,0.9886710239651416,0.9997734474878349,0.9886896898147073,0.9879069301982014,0.9874509803921568,0.9997487696671623,0.9875315091001364
9,0.019167611375451088,0.9916339869281046,0.022620750591158867,0.9898039215686274,0.9917295985639908,0.9916339869281046,0.9998326768541492,0.9915264213708127,0.9899985915234861,0.9898039215686274,0.9997961332598688,0.9896350474551514
10,0.0194410253316164,0.9916339869281046,0.01991097256541252,0.9935294117647059,0.9917660319097562,0.9916339869281046,0.9998326654415711,0.9915128764468403,0.9937267807151213,0.9935294117647059,0.9998706875850556,0.993473946275478
Average,0.01971124093979597,0.9914575163398691,0.02577693071216345,0.9893529411764707,0.9915783824073513,0.9914575163398691,0.9998291531191837,0.9913585045210331,0.9895112591213906,0.9893529411764707,0.9997870215194476,0.9891769762610693
