fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.00840345025062561,0.9976034803649667,0.008085552603006363,0.9976170183159103,0.9976288927982049,0.9976034803649667,0.9999522616913064,0.9975933381389883,0.9976446439395737,0.9976170183159103,0.9999525486042111,0.997606455821191
2,0.009525866247713566,0.9972343390340866,0.009845469146966934,0.9969386512671549,0.9972607978805195,0.9972343390340866,0.9999449130762571,0.9972190219910342,0.9969942931764508,0.9969386512671549,0.9999390382084903,0.9969186771709023
3,0.00836604181677103,0.9976092783963418,0.00919980276376009,0.9970256214016107,0.9976378526221146,0.9976092783963418,0.9999523840393408,0.997595724199153,0.9970762496473001,0.9970256214016107,0.9999407320034714,0.9970086011392931
4,0.008040934801101685,0.9977349024094686,0.008650616742670536,0.9975648362352368,0.997751101741708,0.9977349024094686,0.9999548767759413,0.997725361808432,0.9976078738394294,0.9975648362352368,0.9999515262160301,0.9975545353906519
5,0.007840224541723728,0.9977909500460943,0.008156307972967625,0.9978779287192778,0.997802873629547,0.9977909500460943,0.99995600071133,0.9977835923329199,0.9979013363169925,0.9978779287192778,0.9999577418119838,0.9978717234172498
6,0.009427872486412525,0.997406347298214,0.008477325551211834,0.997895322746169,0.997429720830807,0.997406347298214,0.9999483372794641,0.99739376346884,0.9979194684237838,0.997895322746169,0.99995808122563,0.9978875247786227
7,0.008738936856389046,0.9975184425714656,0.009152649901807308,0.9973561079125428,0.9975304598958564,0.9975184425714656,0.9999505795905664,0.9975060917694472,0.9973590743064953,0.9973561079125428,0.9999473161163032,0.9973414263569118
8,0.009312099777162075,0.9972923193478375,0.00942402333021164,0.9973561079125428,0.9973123253922661,0.9972923193478375,0.9999460652729424,0.9972762857188537,0.9973793847785521,0.9973561079125428,0.9999473393793552,0.9973367855393017
9,0.008190645836293697,0.9976344077708932,0.008994522504508495,0.9973386675943643,0.9976482252926798,0.9976344077708932,0.9999528852637465,0.9976232773101025,0.9973532459966983,0.9973386675943643,0.9999469887496687,0.997324501848258
10,0.008712533861398697,0.997617013710385,0.00877588614821434,0.9975300052182988,0.9976364151729409,0.997617013710385,0.9999525387513224,0.9976062353018602,0.9975371342558932,0.9975300052182988,0.999950785605352,0.9975160534292842
Average,0.008655860647559166,0.9975441480949755,0.008876215666532516,0.9974500267323109,0.9975638665256644,0.9975441480949755,0.9999510842452219,0.9975322692039631,0.997477270468117,0.9974500267323109,0.9999492097920495,0.9974366284891666
