fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.04654539376497269,0.9968847352024922,0.1448463797569275,0.9444444444444444,0.9971072541165998,0.9968847352024922,0.9999376539168927,0.9968764937612291,0.9583333333333334,0.9444444444444444,0.9986259017519752,0.9416666666666667
2,0.04126013442873955,0.9968847352024922,0.3260926604270935,0.9166666666666666,0.9971257973594423,0.9968847352024922,0.9999377527220956,0.9968797186730276,0.9462962962962962,0.9166666666666666,0.9977549507571745,0.9126322751322752
3,0.039745837450027466,1.0,0.25047051906585693,0.9305555555555556,1.0,1.0,1.0,1.0,0.9409722222222222,0.9305555555555556,0.9983038326577824,0.9305555555555556
4,0.04254612699151039,0.9984423676012462,0.4299737513065338,0.9444444444444444,0.9985462097611629,0.9984423676012462,0.9999687773198452,0.998438070684284,0.9513888888888888,0.9444444444444444,0.9987148903522143,0.9444444444444444
5,0.047677479684352875,0.995334370139969,0.34351646900177,0.9154929577464789,0.9956861438198917,0.995334370139969,0.9999067278106741,0.995334370139969,0.9225352112676056,0.9154929577464789,0.997732683172215,0.9128101945003354
6,0.04365389049053192,0.9984447900466563,0.13194246590137482,0.9436619718309859,0.9985558764718951,0.9984447900466563,0.9999688764394647,0.9984447900466563,0.9859154929577465,0.9436619718309859,0.9986259017519752,0.9594536918480581
7,0.04288037493824959,0.9968895800933126,0.09553125500679016,0.9577464788732394,0.9971043471821077,0.9968895800933126,0.999937703397911,0.9968829858442129,0.9694835680751173,0.9577464788732394,0.9990258414783828,0.9568075117370892
8,0.045304954051971436,0.9968895800933126,0.20281818509101868,0.9436619718309859,0.9971288431630578,0.9968895800933126,0.9999378515272987,0.996889179395096,0.9859154929577465,0.9436619718309859,0.998689813298395,0.9577464788732394
9,0.03999914973974228,0.9984447900466563,0.2573709785938263,0.9154929577464789,0.9985484707102125,0.9984447900466563,0.9999688269584462,0.9984345752029562,0.9389671361502349,0.9154929577464789,0.9978568512524422,0.915962441314554
10,0.039817389100790024,0.9984447900466563,0.325952410697937,0.8732394366197183,0.9985743908761014,0.9984447900466563,0.9999689749317449,0.9984267586269074,0.92018779342723,0.8732394366197183,0.9968633939917131,0.8875556368514115
Average,0.04294307306408882,0.9976659738472794,0.25085150748491286,0.9285406885758997,0.997837733346047,0.9976659738472794,0.9999533145024373,0.9976606942374339,0.951999543557642,0.9285406885758997,0.998219406046427,0.931963489692363
