fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.026135200634598732,0.989041394335512,0.026366816833615303,0.9894117647058823,0.9894067312922378,0.989041394335512,0.9997807940485984,0.9889892572952617,0.989644590404392,0.9894117647058823,0.9997885297162521,0.9893074113884933
2,0.024432780221104622,0.9909368191721133,0.02041441574692726,0.9927450980392157,0.9909075933877363,0.9909368191721133,0.999818705809267,0.990815157614991,0.9927503607503607,0.9927450980392157,0.9998551118229584,0.9926863016809725
3,0.02708301693201065,0.9899128540305011,0.032133620232343674,0.9870588235294118,0.9899347473959386,0.9899128540305011,0.9997982717111327,0.9898204860349568,0.9871595275553199,0.9870588235294118,0.9997410389251783,0.9869563830468545
4,0.03381289914250374,0.987755991285403,0.037107158452272415,0.9880392156862745,0.9878234156810659,0.987755991285403,0.9997551142857534,0.9876463428981473,0.9882187778057502,0.9880392156862745,0.9997608265592952,0.9878273336916777
5,0.02168622799217701,0.9922657952069717,0.021761460229754448,0.9911764705882353,0.9925026379786048,0.9922657952069717,0.9998453339962095,0.9921890515175693,0.9915632824981845,0.9911764705882353,0.9998233304694952,0.9911355177329931
6,0.02259761095046997,0.9911764705882353,0.02560052089393139,0.9901960784313726,0.9912041326442063,0.9911764705882353,0.9998235652451267,0.991089246649938,0.9901220883090078,0.9901960784313726,0.9998036540160593,0.9901291462627206
7,0.02599046565592289,0.9907407407407407,0.02957111969590187,0.9888235294117647,0.9907330597974537,0.9907407407407407,0.9998148299909034,0.9906187128863038,0.9888226497514423,0.9888235294117647,0.9997762879642141,0.9886695393158933
8,0.02321242168545723,0.9908278867102397,0.0309419184923172,0.9898039215686274,0.9908209332599349,0.9908278867102397,0.9998165775982532,0.9908001062429043,0.9897375273484285,0.9898039215686274,0.9997958708699293,0.9897389994527643
9,0.02499176375567913,0.9906100217864924,0.02620936743915081,0.9911764705882353,0.9905723950818318,0.9906100217864924,0.9998121957289914,0.9905245998633029,0.9914963651872027,0.9911764705882353,0.999823649358157,0.9911637428513396
10,0.022308554500341415,0.9913289760348584,0.0230329018086195,0.9913725490196078,0.9916363720950311,0.9913289760348584,0.9998265695817731,0.991194477987801,0.9916765964564963,0.9913725490196078,0.9998275385161332,0.9910143782367629
Average,0.02522509414702654,0.9904596949891067,0.027313929982483387,0.9899803921568628,0.9905542018614042,0.9904596949891067,0.9998091957996008,0.9903687438991176,0.9901191766066585,0.9899803921568628,0.9997995838217673,0.9898628753660471
