fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.023024218156933784,0.9922593750119543,0.022932421416044235,0.9925463058596709,0.9923819639266006,0.9922593750119543,0.9998453470518217,0.9921203174188026,0.9926100054949408,0.9925463058596709,0.9998511028920293,0.9924220027233789
2,0.021725818514823914,0.9918328468744859,0.021243367344141006,0.9919610273359498,0.9921730535129066,0.9918328468744859,0.9998368193458644,0.9916442943009336,0.9922647321456642,0.9919610273359498,0.9998394736864171,0.991786647853948
3,0.02137390710413456,0.992433429094957,0.02105354703962803,0.9924946636369896,0.9925232746347032,0.992433429094957,0.99984882757207,0.9923078007418299,0.9925316617999275,0.9924946636369896,0.9998500496768977,0.9923687299539378
4,0.017567304894328117,0.9932903107343553,0.018726440146565437,0.9929422295668939,0.9935411576853785,0.9932903107343553,0.9998659497802612,0.9931895528897644,0.9931348664697028,0.9929422295668939,0.999858971203341,0.9928129463554951
5,0.01861053891479969,0.9927662358031162,0.01959390565752983,0.9922536665978103,0.9931210743497053,0.9927662358031162,0.9998554817968182,0.9926240302915948,0.9926698158168675,0.9922536665978103,0.999845159150527,0.9921168993296794
6,0.017003674060106277,0.993263533183124,0.017126185819506645,0.9934586517937065,0.9933118955339827,0.993263533183124,0.9998654043723139,0.9931823153430585,0.9934893154974267,0.9934586517937065,0.9998693682350889,0.9933787379036291
7,0.02252368815243244,0.991517254306404,0.022737305611371994,0.991220822144185,0.9915937967594181,0.991517254306404,0.9998305242833985,0.9913513855726791,0.9914260455377841,0.991220822144185,0.999824636902282,0.9910433633638194
8,0.01934124529361725,0.992682077784961,0.020688146352767944,0.9920126695586311,0.9930158257416124,0.992682077784961,0.9998537857364432,0.9925228134572686,0.9924713239102925,0.9920126695586311,0.9998404677566313,0.9918209596272946
9,0.020522257313132286,0.9925730691031641,0.02073684148490429,0.9928216074779226,0.992745316785261,0.9925730691031641,0.9998516147626463,0.992437087231878,0.992974499794311,0.9928216074779226,0.9998565480694672,0.9927108443873647
10,0.024212179705500603,0.9914025098168228,0.02549228072166443,0.9911001704222685,0.9914730765470818,0.9914025098168228,0.999828245270823,0.9912445595998203,0.9912230975836596,0.9911001704222685,0.999822055252051,0.9909428718486142
Average,0.020590483210980892,0.9924020641713345,0.021033044159412383,0.9922811814394027,0.9925880435476652,0.9924020641713345,0.9998481999972461,0.9922624156847629,0.9924795364050578,0.9922811814394027,0.9998457832824732,0.992140400334716
