fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.023293135687708855,0.9908527229303309,0.02473924681544304,0.9903762029746281,0.9913066760582752,0.9908527229303309,0.9998170477249901,0.9906100036005206,0.9909108199958004,0.9903762029746281,0.9998075853354389,0.9901182200223418
2,0.025506120175123215,0.9907021426243289,0.02545495517551899,0.9907192973427341,0.9909053312160853,0.9907021426243289,0.9998140482639459,0.990521414896228,0.9908594959225884,0.9907192973427341,0.9998143375485581,0.9905448218341685
3,0.02286006510257721,0.9910357065933207,0.023400038480758667,0.9904791312850599,0.9916851133771648,0.9910357065933207,0.999820707824462,0.9908252155921952,0.9911155466319774,0.9904791312850599,0.9998096388482646,0.9902687927179916
4,0.023683790117502213,0.9903685786553369,0.022830698639154434,0.9908393803715712,0.99043456041249,0.9903685786553369,0.9998073651780661,0.9901500418254445,0.991013751739609,0.9908393803715712,0.9998168416623524,0.990655077967265
5,0.021694179624319077,0.9911557896221578,0.02309338189661503,0.9903247388194123,0.9911742270493288,0.9911557896221578,0.999823118610105,0.9910513839273516,0.9903982286769318,0.9903247388194123,0.9998064701914146,0.990190860723899
6,0.025519216433167458,0.9899206498969764,0.025290176272392273,0.9902218105089805,0.9899714691946427,0.9899206498969764,0.9997984116571526,0.9897314260668275,0.9902069623054821,0.9902218105089805,0.9998044488636871,0.9900421860118965
7,0.021067649126052856,0.9911043254669419,0.021468283608555794,0.9915255691077831,0.9914660369572086,0.9911043254669419,0.9998220922306991,0.9909316530455159,0.9919353755737742,0.9915255691077831,0.999830459781332,0.9913570006741889
8,0.021810686215758324,0.9911958172984369,0.022339830175042152,0.9911138558660559,0.991554139322357,0.9911958172984369,0.9998239111274139,0.9910383807300487,0.991400638782639,0.9911138558660559,0.9998223228060026,0.990964183834951
9,0.026151753962039948,0.9899625836530782,0.02734227292239666,0.9893983840255263,0.9901169286791546,0.9899625836530782,0.9997992527842443,0.9897342798971249,0.9896123915372541,0.9893983840255263,0.9997879561205121,0.9891598499598251
10,0.0225234217941761,0.9906278055112392,0.02328849397599697,0.9902561199457911,0.9906404590426802,0.9906278055112392,0.9998125633954661,0.9904603484010905,0.9902514787683688,0.9902561199457911,0.9998050555416873,0.9900539445874008
Average,0.023411001823842526,0.9906926122252149,0.023924737796187402,0.9905254490247541,0.9909254941309389,0.9906926122252149,0.9998138518796544,0.9905054147982346,0.9907704689934425,0.9905254490247541,0.999810511669925,0.990335493833393
