fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.08562285453081131,0.9802001216335617,0.08440916240215302,0.9806705910702606,0.979890532599252,0.9802001216335617,0.9996043207616219,0.9798757819974212,0.9803887703225791,0.9806705910702606,0.9996137900429947,0.9804026865357832
2,0.08468789607286453,0.9803741570755926,0.08615611493587494,0.9801370098798582,0.9800705159841644,0.9803741570755926,0.9996077762004578,0.9800261216571721,0.9797981549698691,0.9801370098798582,0.9996030185665478,0.979813646433837
3,0.08459701389074326,0.9799973990307564,0.08519711345434189,0.9801370098798582,0.9797852812574219,0.9799973990307564,0.9996002446784459,0.9796966506761005,0.9799781092374379,0.9801370098798582,0.9996030545156522,0.9798237770228221
4,0.08739162236452103,0.9779032362942308,0.09056452661752701,0.9762298185823952,0.9776024291190378,0.9779032362942308,0.9995583877572126,0.9775372706485534,0.9760337402453614,0.9762298185823952,0.9995246951183813,0.9758197001765293
5,0.08714915812015533,0.9782264449722882,0.08689776808023453,0.9781231711935007,0.9779498158794556,0.9782264449722882,0.9995648278758913,0.9778834956338495,0.9778304750760988,0.9781231711935007,0.9995626257563485,0.9777511834541367
6,0.08435598015785217,0.9784961042835668,0.08355820924043655,0.9785534786051155,0.9782054921448335,0.9784961042835668,0.9995702081546118,0.9781540032491466,0.9783858483927813,0.9785534786051155,0.9995714452550255,0.9781844551087545
7,0.08008091896772385,0.9817779154761495,0.08036206662654877,0.9811869599641985,0.9815452299580767,0.9817779154761495,0.9996358894198343,0.9815664757604083,0.9809632508250793,0.9811869599641985,0.999624045986224,0.9809852792058298
8,0.08857045322656631,0.9791310467753719,0.0867818295955658,0.9799132500258184,0.9788795784569626,0.9791310467753719,0.9995829453412685,0.9789137665548815,0.9796702084006057,0.9799132500258184,0.9995987870355865,0.9796889372581937
9,0.0856383889913559,0.9778286496762176,0.08618078380823135,0.9771937071844126,0.9775258423647968,0.9778286496762176,0.9995568816553327,0.9774366156484678,0.9768298276107263,0.9771937071844126,0.9995442248854832,0.9767487694366194
10,0.08740657567977905,0.97794148584193,0.08662698417901993,0.9788116630520844,0.9777329198882868,0.97794148584193,0.9995591413566972,0.977688559150984,0.9785796890130297,0.9788116630520844,0.9995765444712931,0.9785756840621729
Average,0.08555008620023727,0.9791876561059665,0.08567345589399337,0.9790956659437503,0.9789187637652287,0.9791876561059665,0.9995840623201373,0.9788778740976986,0.9788458074093569,0.9790956659437503,0.9995822231633535,0.9787794118694679
