fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.06577135622501373,0.9677150106837606,0.0742943063378334,0.9625400641025641,0.9671380329753251,0.9677150106837606,0.9993003142149179,0.9661719081806174,0.9615527584344468,0.9625400641025641,0.9991732132976076,0.9610086868834578
2,0.06327606737613678,0.9687833867521367,0.06808124482631683,0.9662459935897436,0.9715479785767449,0.9687833867521367,0.9993426177468139,0.9687935552404504,0.9699641963176802,0.9662459935897436,0.9992781899092529,0.9663338931252188
3,0.06464587152004242,0.9695401531339032,0.0667472779750824,0.9700520833333334,0.9711129404776562,0.9695401531339032,0.9993496535106555,0.9683346347019214,0.9713956498507637,0.9700520833333334,0.9993479812815429,0.9694702184021563
4,0.06307128071784973,0.9689280626780626,0.06520136445760727,0.967948717948718,0.9685849591333945,0.9689280626780626,0.9993262456376633,0.9675803446389937,0.9673064177620052,0.967948717948718,0.9992971874693262,0.9663370063913448
5,0.06067115068435669,0.9704082086894587,0.06433835625648499,0.9677483974358975,0.9697082612238679,0.9704082086894587,0.999366368522208,0.969739249030187,0.9668117943144287,0.9677483974358975,0.9992903310069299,0.9668313205368008
6,0.06074163690209389,0.9703525641025641,0.06190444156527519,0.9674479166666666,0.9700272871219893,0.9703525641025641,0.9993663596115042,0.9698557501548306,0.9672675596078324,0.9674479166666666,0.9992767790828176,0.9669277223371728
7,0.06672538071870804,0.9672475961538461,0.0695892721414566,0.9663461538461539,0.9704307148195314,0.9672475961538461,0.9993074298141087,0.9666924017634455,0.9685936993060875,0.9663461538461539,0.9992851197692385,0.9657814459079279
8,0.06343177706003189,0.9692508012820513,0.06688705831766129,0.9668469551282052,0.9693842228083119,0.9692508012820513,0.9993442534012303,0.9685556379174932,0.9670210926483731,0.9668469551282052,0.9992627804744515,0.9661400321287734
9,0.06268882751464844,0.9685830662393162,0.06337739527225494,0.9686498397435898,0.9684670593724485,0.9685830662393162,0.9993300100569426,0.9684252941421237,0.9685962518478423,0.9686498397435898,0.9993346051800691,0.9685984491229109
10,0.060789890587329865,0.9701299857549858,0.06197598576545715,0.9688501602564102,0.9694869771697796,0.9701299857549858,0.999354974047713,0.9690635151035393,0.9678735932648183,0.9688501602564102,0.9993299014457037,0.9676303061362085
Average,0.06318132393062115,0.9690938835470085,0.06623967029154301,0.9672676282051282,0.969588843367905,0.9690938835470085,0.999338822656376,0.9683212290873602,0.9676383013354277,0.9672676282051282,0.999287608891694,0.9665059080971972
