fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.016984568908810616,0.9935153126613998,0.01638055220246315,0.993561271218538,0.9936992746672025,0.9935153126613998,0.9998704340515933,0.9934185965152716,0.993816089569662,0.993561271218538,0.999871446105399,0.9934670159483362
2,0.019067887216806412,0.9929529238479637,0.020014388486742973,0.9925455359294839,0.993061129259008,0.9929529238479637,0.9998592078655626,0.9928510754669104,0.9926541806551514,0.9925455359294839,0.9998510852610216,0.9923997147123539
3,0.019123798236250877,0.9927692866843928,0.018981104716658592,0.9931825224666874,0.9928804196181477,0.9927692866843928,0.9998555446491372,0.992657831522883,0.9933308623153886,0.9931825224666874,0.9998637801516367,0.993065331708105
4,0.018107229843735695,0.9933125466266236,0.01877891831099987,0.9929070688289777,0.9934837279829741,0.9933125466266236,0.9998663879358552,0.9932025177318771,0.9931672383714872,0.9929070688289777,0.999858335099393,0.9927877353654108
5,0.019671747460961342,0.9927080742965357,0.020619627088308334,0.9924250249629859,0.9928224613324599,0.9927080742965357,0.9998543234773172,0.9925888224271806,0.9924871743621362,0.9924250249629859,0.9998486369203041,0.992285007702009
6,0.018307937309145927,0.9932972435296593,0.018911615014076233,0.9931825224666874,0.993432329674332,0.9932972435296593,0.9998660905865253,0.9931954172532458,0.9933657716934476,0.9931825224666874,0.9998637777224447,0.9930980308773678
7,0.019376637414097786,0.9926755692262961,0.02042439393699169,0.9922355169148661,0.9927984453187217,0.9926755692262961,0.9998536762439008,0.9925491746291538,0.9923517984960659,0.9922355169148661,0.9998448142877289,0.9921166587577487
8,0.019151052460074425,0.9928171226024397,0.01809658110141754,0.9930274597572523,0.9929314322125141,0.9928171226024397,0.9998564902637864,0.9927080078909111,0.9930857294443773,0.9930274597572523,0.9998607742136955,0.9929359112430961
9,0.01764468103647232,0.993333601137018,0.017865898087620735,0.9931996212447276,0.9935383580473064,0.993333601137018,0.9998668187341334,0.9932393787676853,0.9932884884376623,0.9931996212447276,0.9998640938197019,0.9930991430290634
10,0.0197333674877882,0.9925933152374558,0.020861783996224403,0.9923388138073513,0.9927317431548218,0.9925933152374558,0.9998520297809464,0.9924546230403538,0.9925648135171792,0.9923388138073513,0.9998468890460706,0.9921809981895998
Average,0.01871689073741436,0.9929974995849783,0.019093486294150353,0.9928605357597557,0.9931379321267488,0.9929974995849783,0.9998601003588758,0.9928865445245473,0.9930112146862557,0.9928605357597557,0.9998573632627397,0.992743554753309
