fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.056513652205467224,0.9715878739316239,0.06356696784496307,0.9691506410256411,0.971197813448523,0.9715878739316239,0.9993936891905166,0.9711982918217624,0.9689415460139522,0.9691506410256411,0.9993273919168463,0.9687960473557593
2,0.057702261954545975,0.9709869123931624,0.06146664544939995,0.9693509615384616,0.9723802728530759,0.9709869123931624,0.9993832618911919,0.970337721288155,0.9717005399874031,0.9693509615384616,0.9993388175456039,0.9686983900171341
3,0.05940123274922371,0.9702746616809117,0.06042945012450218,0.9709535256410257,0.9701236191790861,0.9702746616809117,0.9993579218111442,0.9688945667467311,0.9706719246810095,0.9709535256410257,0.9993591715229745,0.9701603039153676
4,0.06073988229036331,0.9690282229344729,0.060379598289728165,0.9703525641025641,0.9690189823962688,0.9690282229344729,0.9993336515214308,0.9683185014093572,0.9703906444448622,0.9703525641025641,0.9993525160172644,0.9694628869429516
5,0.057765863835811615,0.9707865918803419,0.059169284999370575,0.9698517628205128,0.9711563872058551,0.9707865918803419,0.999378197410121,0.9703120565892048,0.9693943481108659,0.9698517628205128,0.9993397915519191,0.9693181189279816
6,0.05806870386004448,0.9709535256410257,0.058066703379154205,0.9690504807692307,0.9712974998643518,0.9709535256410257,0.9993844799248808,0.9709050250112639,0.9694218207972813,0.9690504807692307,0.9993173041892749,0.9690122720574005
7,0.058566220104694366,0.9701856303418803,0.061599958688020706,0.9699519230769231,0.9728590016224261,0.9701856303418803,0.9993707392059039,0.969876479683086,0.9720228175240668,0.9699519230769231,0.9993642201131006,0.9696945452923845
8,0.05952473357319832,0.9701967592592593,0.06158079206943512,0.9674479166666666,0.9727726186714802,0.9701967592592593,0.999371380223476,0.969919526082528,0.9702925437320141,0.9674479166666666,0.9992831236686839,0.9669820418750431
9,0.05870100110769272,0.9699964387464387,0.057637427002191544,0.9707532051282052,0.9702112232229348,0.9699964387464387,0.9993609807177826,0.9695409569214994,0.9710798731713461,0.9707532051282052,0.9993781145804587,0.9700849092298202
10,0.05941419303417206,0.9694066061253561,0.057905614376068115,0.9682491987179487,0.9720530438160825,0.9694066061253561,0.9993582370402152,0.9698099551726327,0.9706720096234716,0.9682491987179487,0.9993353159631839,0.9687783424872655
Average,0.058639774471521376,0.9703403222934472,0.060180244222283366,0.9695112179487179,0.9713070462280082,0.9703403222934472,0.9993692538936664,0.9699113080726219,0.9704588068086274,0.9695112179487179,0.9993395767069309,0.9690987858101108
